time,ax,ay,az,wx,wy,wz,Bx,By,Bz,latitude,longitude,altitude,speed
2024-11-15T22:07:19.152Z,0.0403,0.8206,0.9703,-0.1157,0.1385,-0.0464,29.6262,-6.8912,-128.3369,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.153Z,0.0403,0.8206,0.9703,-0.0836,0.1446,-0.0916,29.6262,-6.8912,-128.3369,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.164Z,-0.0630,0.7795,0.9962,0.0192,0.2144,-0.1160,30.1878,-6.6481,-128.4544,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.174Z,-0.0630,0.7795,0.9962,0.0883,0.2183,-0.1253,30.0255,-6.6883,-128.2226,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.183Z,-0.1813,0.6970,0.7394,0.1357,0.1906,-0.1268,30.3229,-6.6700,-128.2171,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.194Z,-0.1938,0.6808,0.4759,0.1760,0.1630,-0.1251,30.5965,-6.9263,-128.4248,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.203Z,-0.1938,0.6808,0.4759,0.1992,0.1596,-0.1218,30.7528,-6.7213,-128.0979,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.214Z,-0.1756,0.7385,0.1361,0.2057,0.1639,-0.1202,30.7616,-7.0322,-128.0334,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.224Z,-0.1756,0.7385,0.1361,0.1979,0.1644,-0.1261,30.8930,-6.8871,-128.2158,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.234Z,-0.1072,0.7923,-0.0177,0.1957,0.1567,-0.1287,31.1290,-7.0411,-127.8196,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.244Z,-0.1197,0.8161,-0.2792,0.1794,0.1273,-0.1202,31.0596,-7.1516,-127.7598,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.254Z,-0.1197,0.8161,-0.2792,0.1644,0.0550,-0.1188,31.0151,-7.1815,-127.6164,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.264Z,-0.1550,0.8584,-0.3729,0.1532,-0.0587,-0.1434,31.0365,-7.3310,-127.4312,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.273Z,-0.0539,0.9677,-0.4476,0.1565,-0.1589,-0.1856,30.7642,-7.1357,-127.5090,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.284Z,-0.0539,0.9677,-0.4476,0.1863,-0.2154,-0.2269,30.8832,-7.2550,-127.5746,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.294Z,0.0001,0.9346,-0.2751,0.2382,-0.2313,-0.2513,30.7751,-7.4879,-127.9149,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.303Z,-0.1152,0.7978,0.1395,0.3020,-0.2229,-0.2461,30.7751,-7.4879,-127.9149,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.314Z,-0.1152,0.7978,0.1395,0.3523,-0.1761,-0.2092,30.8205,-7.3965,-127.4385,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.324Z,-0.3773,0.8192,0.1855,0.3808,-0.0772,-0.1500,30.3604,-7.6917,-127.6971,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.333Z,-0.7532,1.0513,0.0759,0.3779,0.0562,-0.0805,30.5733,-7.7364,-127.6656,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.343Z,-0.7532,1.0513,0.0759,0.3325,0.1776,-0.0169,30.5335,-7.7081,-127.6818,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.353Z,-0.7813,1.1483,-0.1886,0.2541,0.2370,0.0468,30.4317,-8.0684,-127.8230,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.364Z,-0.7363,1.3015,-1.2078,0.1432,0.2056,0.1011,30.7005,-8.0828,-127.4692,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.374Z,-0.7363,1.3015,-1.2078,0.0359,0.0665,0.1234,30.7348,-8.0824,-127.5807,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.383Z,-0.6759,1.3944,-1.7023,-0.0592,-0.1500,0.0906,30.7510,-8.1204,-127.4774,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.393Z,-0.3771,1.3461,-1.9534,-0.1095,-0.3814,0.0206,30.6676,-8.0570,-127.4914,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.403Z,-0.3771,1.3461,-1.9534,-0.1108,-0.5764,-0.0446,30.3114,-8.0937,-127.4676,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.413Z,-0.2574,1.1438,-1.7842,-0.0848,-0.7086,-0.0725,30.0398,-8.0139,-127.6681,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.424Z,-0.5651,0.8051,-1.2013,-0.0417,-0.7485,-0.0351,29.7309,-7.7661,-127.6783,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.434Z,-0.5651,0.8051,-1.2013,0.0160,-0.6767,0.0411,29.4596,-7.8990,-128.0546,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.443Z,-0.8924,0.8285,-0.8150,0.0769,-0.5292,0.1345,29.0671,-7.9278,-128.1064,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.453Z,-1.1304,0.9963,-0.2557,0.1266,-0.3880,0.2072,28.8499,-7.9671,-128.2005,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.463Z,-1.1304,0.9963,-0.2557,0.1579,-0.3421,0.2374,28.7218,-8.2354,-128.2794,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.474Z,-1.0578,0.8970,-0.3948,0.1320,-0.4067,0.2083,28.5505,-8.2417,-128.2217,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.484Z,-0.8486,0.9034,-1.1505,0.0240,-0.5197,0.1195,28.2624,-8.4573,-128.2573,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.494Z,-0.8486,0.9034,-1.1505,-0.1281,-0.5476,0.0661,27.9899,-8.4588,-128.4852,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.503Z,-0.7935,1.0220,-1.4306,-0.2755,-0.4171,0.0965,27.5786,-8.2567,-129.0640,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.513Z,-1.2599,0.8071,-0.4539,-0.3917,-0.1726,0.2123,27.4307,-7.9553,-128.7359,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.524Z,-1.2599,0.8071,-0.4539,-0.4664,0.1004,0.3652,27.3535,-7.7550,-128.7403,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.533Z,-1.4898,0.8393,0.1293,-0.5034,0.3135,0.5047,27.7093,-7.5034,-128.7654,37.42278531475826,-122.16388937968546,29.2666,0.0264
2024-11-15T22:07:19.544Z,-1.3769,1.2252,0.4798,-0.5068,0.4429,0.6132,27.9790,-7.6486,-128.5125,37.42278531475826,-122.16388937968546,29.2666,0.0264
