time,ax,ay,az,wx,wy,wz,Bx,By,Bz,latitude,longitude,altitude,speed
2024-11-15T22:02:54.229Z,0.1557,0.2476,0.5598,0.1484,-0.0246,0.0142,35.7347,-9.0976,-127.4659,37.422782095345134,-122.16387083758447,29.1097,0.0000
2024-11-15T22:02:54.238Z,0.0364,0.3028,0.1998,0.1747,0.0613,0.1504,35.5325,-9.4797,-127.6748,37.422782095345134,-122.16387083758447,29.1097,0.0000
2024-11-15T22:02:54.249Z,-0.0968,0.4475,-0.5988,0.1111,0.0367,0.2047,35.6661,-9.6463,-127.6689,37.422782095345134,-122.16387083758447,29.1097,0.0000
2024-11-15T22:02:54.258Z,-0.0968,0.4475,-0.5988,0.0461,0.0121,0.2333,35.7982,-9.5431,-127.6805,37.422782095345134,-122.16387083758447,29.1097,0.0000
2024-11-15T22:02:54.268Z,0.0078,0.5418,-0.8005,-0.0137,-0.0203,0.2241,35.7323,-9.7456,-127.5491,37.422782095345134,-122.16387083758447,29.1097,0.0000
2024-11-15T22:02:54.279Z,0.2395,0.5421,-0.7975,-0.0571,-0.1047,0.1678,35.4359,-9.6846,-127.2718,37.422782095345134,-122.16387083758447,29.1097,0.0000
2024-11-15T22:02:54.288Z,0.2395,0.5421,-0.7975,-0.1143,-0.2601,0.0776,35.6161,-9.7392,-127.2762,37.422782095345134,-122.16387083758447,29.1097,0.0000
2024-11-15T22:02:54.299Z,0.1778,0.4737,-0.6282,-0.1809,-0.3960,-0.0291,35.3873,-9.7343,-127.6184,37.422782095345134,-122.16387083758447,29.1097,0.0000
2024-11-15T22:02:54.308Z,-0.0483,0.7346,-0.3775,-0.2277,-0.5053,-0.0927,35.1290,-9.5932,-127.8250,37.422782095345134,-122.16387083758447,29.1097,0.0000
2024-11-15T22:02:54.318Z,-0.0483,0.7346,-0.3775,-0.2672,-0.6091,-0.1627,34.9064,-9.4002,-127.9393,37.422782095345134,-122.16387083758447,29.1097,0.0000
